Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
pc,,,,"I will never go back to a <span class=""AS"">PC</span> again!","We figure that after everything HIS <span class=""AS"">pc</span> actually ended up costing $350 more than my original Mac.","I get full service, on my Eee <span class=""AS"">PC</span> I get 3 bars.","it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the features I was use to on the <span class=""AS"">PC</span> especially the right mouse click menu.","been a <span class=""AS"">PC</span> user for many, many years.","Browsing, also, was no problem for me when I used itunes ( which usually slows down my <span class=""AS"">PC</span> ).","Moving from a <span class=""AS"">PC</span> to Mac has never been easier, and I'm glad that I did it.","I have been a <span class=""AS"">PC</span> user since middle school, but in my mid twenties I decided to convert to the dark side, or should I say the brighter side of life.","I bought this Mac book pro along with a new 27"" iMac and while they are still light years more reliable than a <span class=""AS"">PC</span> I have noticed a decline in the reliability of my Mac computers.","My Mac is much more efficient than a <span class=""AS"">PC</span> so it does not need the extra bells and whistles to compete.","I can never go back to a <span class=""AS"">PC</span> now, this machine never freezes or has any problems.","Price was higher when purchased on MAC when compared to price showing on <span class=""AS"">PC</span> when I bought this product.","I needed something affordable from Apple and was tired of dealing with <span class=""AS"">PC</span> laptop after PC laptop.","It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike <span class=""AS"">PC</span> laptops which drop more than 80%.","Being a <span class=""AS"">PC</span> user my whole life, it's taking a bit of time to adapt to the OS of a Mac","I Have been a <span class=""AS"">Pc</span> user for a very long time now","I wish iWork or MS Office came with the Mac, but MS Office doesn't even come with most <span class=""AS"">pc</span> laptops.","I've been a <span class=""AS"">PC</span> user","Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of <span class=""AS"">PC</span> in my opinion.","I really wanted a Mac over a <span class=""AS"">pc</span> because I used a Mac in high school."
warranty,,,,"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare <span class=""AS"">warranty</span> plan.","The only thing I didn't learn in my research was the software I would need like privacy protection and <span class=""AS"">warranty</span> protection, in case it gets broken, or crashes etc.","The extended <span class=""AS"">warranty</span> for the $4000 and up computers was the only one available for purchase on the drop drown menu.","the manufacturer's <span class=""AS"">warranty</span> only covers replacement/repair of parts.","I'm still within the one year <span class=""AS"">warranty</span> but the repair ""depot""","Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only <span class=""AS"">warranty</span> the repair for 30 days","and now I'm out of <span class=""AS"">warranty</span> even though this has been a constant 5 month occurance since I bought the netbook.","Also, the extended <span class=""AS"">warranty</span> was a problem.","They offer the best <span class=""AS"">warranty</span> in the business, and don't 3rd party it out like Toshiba.","They played games with me for the <span class=""AS"">warranty</span> period.","The quality, engineering design and <span class=""AS"">warranty</span> are superior--covers damage from dropping the laptop.","When it come time for <span class=""AS"">warranty</span> service to Toshiba you don't matter.","I opted for the SquareTrade 3-Year Computer Accidental Protection <span class=""AS"">Warranty</span> ($1500-2000) which also support ""accidents"" like drops and spills that are NOT covered by AppleCare.","In desparation, I called their Customer Service number and was told that my <span class=""AS"">warranty</span> had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","I purchased this netbook after my original Toshiba laptop crashed right after the <span class=""AS"">warranty</span> expired.","The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that <span class=""AS"">warranty</span> covering all the products we purchased.","After that I turned to email in my next vain help to get them to acknowledge that the <span class=""AS"">warranty</span> was still valid.","TO TALK TO AN AMERICAN <span class=""AS"">WARRANTY</span> SERVICE","Because we did not purchase the extended <span class=""AS"">warranty</span> in time, we are on the hook for the repair.","They say that this will invalidate the <span class=""AS"">warranty</span> on the hard drive (I don't really understand why but anyway)."
power supply,,,,"My <span class=""AS"">power supply</span> cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.","Once again, I was told it was the suspicious  <span class=""AS"">power supply</span>  problem.","and they replaced the awesome ergonomic small lightweight <span class=""AS"">power supply</span> with a power supply that weighed more than the machine itself.","Was searching online for a <span class=""AS"">power supply</span> when I found this site.","Tech support tells me the latter problem is a <span class=""AS"">power supply</span> problem and have offered to fix it if it happens again.","The case is now slightly larger than the previous generation, but the lack of an external <span class=""AS"">power supply</span> justifies the small increase in size."
power,,,,"My <span class=""AS"">power</span> supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.","Now I have the best of both worlds with all of the <span class=""AS"">power</span> and ease of the Mac!","Once again, I was told it was the suspicious  <span class=""AS"">power</span> supply  problem.","I need graphic <span class=""AS"">power</span> to run my Adobe Creative apps efficiently.","This is a nicely sized laptop with lots of processing <span class=""AS"">power</span> and long battery life.","I've had this laptop for 2 months, out of the blue the <span class=""AS"">power</span> adapter stops working.","Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the <span class=""AS"">power</span> brick.","When this happened I would have to completely <span class=""AS"">power</span> off my computer and restart it.","The casing of the <span class=""AS"">power</span> cord fried and shocked my husband when he pulled it out of the socket.","The <span class=""AS"">power</span> plug has to be connected to the power adaptor to charge the battery but won't stay connected.","and they replaced the awesome ergonomic small lightweight <span class=""AS"">power</span> supply with a power supply that weighed more than the machine itself.","Very long-life battery (up to 10-11 hours depending on how you configure <span class=""AS"">power</span> level settings).","Was searching online for a <span class=""AS"">power</span> supply when I found this site.","Tech support tells me the latter problem is a <span class=""AS"">power</span> supply problem and have offered to fix it if it happens again.","The speed gives you the <span class=""AS"">power</span> to work on these projects seamlessly, and multiple at a time if you sowish.","Needs <span class=""AS"">Power</span> and Mouse Cable to Plug in back instead of side,","I'm extremely happy with my purchase as I now have the portable <span class=""AS"">power</span> I have been looking for.","Then the system would many times not <span class=""AS"">power</span> down without a forced power-off.","Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even <span class=""AS"">power</span> on.","The case is now slightly larger than the previous generation, but the lack of an external <span class=""AS"">power</span> supply justifies the small increase in size."
keys,key,,,"the <span class=""AS"">key</span> bindings take a little getting used to, but have loved the Macbook Pro.","I love the feel of the <span class=""AS"">key</span> board, as well as the trackpad.","Most laptops and notebooks are difficult to <span class=""AS"">key</span> on.","The only thing I miss are the ""Home/End"" type <span class=""AS"">keys</span> and other things that I grew accustomed to after so long.","cosmetically, the only thing they changed was 2 of the Function <span class=""AS"">keys</span> at the top.","Also, I have had alot of trouble with the <span class=""AS"">keys</span> sticking and will not type correctly.","A <span class=""AS"">key</span> contributor that led me to Mac is the art aspect.","The backlit <span class=""AS"">keys</span> are wonderful when you are working in the dark.","For me, <span class=""AS"">keys</span> were starting to get stuck and wouldn't type very well.","I bought a protector for my <span class=""AS"">key</span> pad and it works great","Another thing is that after only a month the left mouse <span class=""AS"">key</span> broke and it costed $175 to send it in to fix it.","I love the lit up <span class=""AS"">keys</span> and screen display...","I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the <span class=""AS"">key</span> board, as I am used to a bigger one and pounding.","It's so nice to look at and the <span class=""AS"">keys</span> are easy to type with.","Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no <span class=""AS"">keys</span> sticking or lagging, strange configuration of ""extra key"", etc.","Also, I have had alot of trouble with the shift <span class=""AS"">key</span> to go to other lines.","Externally the <span class=""AS"">keys</span> on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.","The only thing that I have, is the <span class=""AS"">key</span> broad is a little dark to see the letters, would help if it was a little lighter then it is.","Sure it has the one touch <span class=""AS"">keys</span> but that was the best feature of the computer.","when you go to open it it asks for a product <span class=""AS"">key</span> which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good."
customer,,,,"As usual at <span class=""AS"">customer</span> service center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).","They need to stop outsoucing and send some complaint calls to US based <span class=""AS"">customer</span> service agents for those who live in the United states.","(you know it is a bit insulating when a company this rich, offer a loyal <span class=""AS"">customer</span> like me, a bottom of their product line as a gift for events like this).","So I called <span class=""AS"">customer</span> support (which is good too) and they went through it and it is just a safety feature","I heard their <span class=""AS"">customer</span> service was lacking and that they were working on improving it!","Have not yet needed any <span class=""AS"">customer</span> support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.","In desparation, I called their <span class=""AS"">Customer</span> Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","Apple is unmatched in product quality,aesthetics,craftmanship, and <span class=""AS"">customer</span> service.","It arrived so fast and <span class=""AS"">customer</span> service was great.","Dell's <span class=""AS"">customer</span> disservice is an insult to it's customers who pay good money for shoddy products.","If this is an improvement in <span class=""AS"">Customer</span> Service then I would hate too see what it was before!","You may just lose 1 <span class=""AS"">customer</span> for now.","I had to get Apple <span class=""AS"">Customer</span> Support to correct the problem.","Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad <span class=""AS"">customer</span> services I received over the phone with toshiba customer services hotlines.","The lesson learned here is: It does not pay to by this loyal to any brand, since all of them are there to simply  to make as much money as possible, as fast as they can, and in this day and age, the <span class=""AS"">customer</span> no longer is right all the times.","Took several hours with <span class=""AS"">customer</span> support before I could even start the PC out of the box."
colors,color,,,"The screen is very large and crystal clear with amazing <span class=""AS"">colors</span> and resolution.","Its white <span class=""AS"">color</span> is stylish for college students and easy to take to carry and take to classes.","It's still beautiful and has better <span class=""AS"">color</span> reproduction than I could ever expect from a notebook.","It's <span class=""AS"">color</span> is even cool.","Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic <span class=""AS"">colors</span> to choose from.","Also stunning <span class=""AS"">colors</span> and speedy"
machine,,,,"This <span class=""AS"">machine</span> is flawless, fast, and classy.","It's so nice that the battery last so long and that this <span class=""AS"">machine</span> has the snow lion!","I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful <span class=""AS"">machine</span> for a great price.","Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows <span class=""AS"">machine</span> have a total score in the 5's.","They basically told me that the <span class=""AS"">machine</span> would be problem free now.","An absolutely hateful <span class=""AS"">machine</span> that no one should get of their own free will.","I custom ordered the <span class=""AS"">machine</span> from HP and could NOT understand the techie due to his accent.","Now the <span class=""AS"">machine</span> won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days","I can never go back to a PC now, this <span class=""AS"">machine</span> never freezes or has any problems.","EVENTUALLY we pushed hard enough to convince them that this was the <span class=""AS"">MACHINE</span> that was causing the problems.","Despite the plethora of problems, I managed to use technological trickery to keep the <span class=""AS"">machine</span> operational for two years.","and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the <span class=""AS"">machine</span> itself.","I have owned at least 4 to 5 laptops and computers - but this is by far the most superior <span class=""AS"">machine</span> I have ever owned.","This <span class=""AS"">machine</span> rocks!","I highly recommend this computer for students looking for a solid <span class=""AS"">machine</span> to get them through college.","But the <span class=""AS"">machine</span> is awesome and iLife is great","I like this <span class=""AS"">machine</span> because its very lightweight...","but I need not have worried - this <span class=""AS"">machine</span> is the fastest I have ever owned...","The <span class=""AS"">machine</span> is slow to boot up and occasionally crashes completely.","This <span class=""AS"">machine</span> was a horrible experience."
keyboard,,,,"Learning all of the <span class=""AS"">keyboard</span> shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.","I tried the <span class=""AS"">keyboard</span> at the store, and it seemed ok.","Runs fast and the regular layout <span class=""AS"">keyboard</span> is so much better.","The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple <span class=""AS"">Keyboard</span> and Mouse, all put together in neat and nice package.","The <span class=""AS"">keyboard</span> is slick and quiet and not bulky like some other laptops I have had in the past.","The newer black <span class=""AS"">keyboard</span> took a little bit away from the previous gray one which looked really slick, but it is still a great notebook!","i love the <span class=""AS"">keyboard</span> and the screen.","The <span class=""AS"">keyboard</span> is top notch.","The <span class=""AS"">keyboard</span> is too slick.","I was disappointed when I realized that the <span class=""AS"">keyboard</span> doesn't light up on this model.","It is easy to go from one <span class=""AS"">keyboard</span> to another.","OR THE <span class=""AS"">KEYBOARD</span> SIMPLY DOES NOT DETECT THE KEYS","The screen is bright and vivid and the <span class=""AS"">keyboard</span> is very easy to use, very important for use quick typers.","It is easy to use, its <span class=""AS"">keyboard</span> easily accommodates large hands, and its weight is fantasic.","It feels cheap, the <span class=""AS"">keyboard</span> is not very sensitive.","However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted <span class=""AS"">keyboard</span> and easy mouse pad.","The <span class=""AS"">keyboard</span> is like no other laptop keyboard.","THE <span class=""AS"">KEYBOARD</span> FUNCTION IS SIMPLY UNSATISFACTORY.","eg the <span class=""AS"">keyboard</span> is one of the best to type on.","This computer that I have has had issues with the <span class=""AS"">keyboard</span> where it lost half the keyboard functions."
shipping,,,,"The 13"" Macbook Pro just fits in my budget and with free <span class=""AS"">shipping</span> and no tax to CA","(No problem with the ordering or <span class=""AS"">shipping</span> by the way.","I'v spent as much for <span class=""AS"">shipping</span> as I would to buy a new netbook -- of course a different brand.","HOWEVER I chose two day <span class=""AS"">shipping</span> and it took over a week to arrive.","The 13"" Macbook Pro just fits in my budget and with free <span class=""AS"">shipping</span> and no tax to CA","great price free <span class=""AS"">shipping</span> what else can i ask for!!","however, I may have inadvertently thrown out one of the batteries with the <span class=""AS"">shipping</span> carton.","The computer is currently in West Verginia doe to the method of <span class=""AS"">shipping</span> choosen by Toshiba."
price,,,,"this is the best <span class=""AS"">price</span> we can get for a great product.","The <span class=""AS"">price</span> was very good, and the product is top quality.","If you ask me, for this <span class=""AS"">price</span> it should be included.","Was very much worth the <span class=""AS"">price</span> i paid.","This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this <span class=""AS"">price</span> range.","High <span class=""AS"">price</span> tag, however.","Worse, for the <span class=""AS"">price</span> I could get a *netbook* that outperforms this machine.","The <span class=""AS"">price</span> is great for this model, I only plan on using it for media in the entertainment room.","I will never complain about the <span class=""AS"">price</span> since I believe you get what you pay for and my MacBook Pro was worth every dollar.","LOVE THIS LAPTOP WONDERFUL <span class=""AS"">PRICE</span> FOR WHAT YOU GET!","Battery life could be better but overall for the <span class=""AS"">price</span> and Toshiba's reputation for laptops","It's because when you buy it, you know first thing that you will not lose any value for that laptop, the <span class=""AS"">price</span> will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.","Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of <span class=""AS"">price</span> and performance.","So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the <span class=""AS"">price</span> of a new one).","The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the <span class=""AS"">price</span> of it.","Like the <span class=""AS"">price</span> and operation.","Everything I wanted and everything I needed and the <span class=""AS"">price</span> was great!","A cheaper <span class=""AS"">price</span> should not equal a ""cheap"" product.","I got this at an amazing <span class=""AS"">price</span> from Amazon and it arrived just in time.","We researched and found the best <span class=""AS"">price</span> at MacConnection."
features,feature,,,"it was easy to setup and install, but I am learning as I go and could use a tutorial to learn how to use some of the <span class=""AS"">features</span> I was use to on the PC especially the right mouse click menu.","I'ts nice to have the higher-end laptops, but this fits my budget and the <span class=""AS"">features</span> I need.","it's exactly what i wanted, and it has all the new <span class=""AS"">features</span> and whatnot.","I even got my teenage son one, because of the <span class=""AS"">features</span> that it offers, like, iChat, Photobooth, garage band and more!","Im glad that it has such great <span class=""AS"">features</span> in it.","and it comes with the new OSX that comes with new <span class=""AS"">features</span> that makes the use more easy.","I was looking too closely at the other performance specs and while comparing, I took it for granted that these <span class=""AS"">features</span> were standard.","Mac Buyer and am amazed at <span class=""AS"">features</span> and ease of use the Mac offers.","However, I love this particular Mac because its very fast, great size, and has fantastic <span class=""AS"">features</span> like the lighted keyboard and easy mouse pad.","Instead, I'll focus more on the actual performance and <span class=""AS"">feature</span> set of the hardware itself so you can make an educated decision on which Mac to buy.","I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various <span class=""AS"">features</span> and programs.","A lot of <span class=""AS"">features</span> and shortcuts on the MBP that I was never exposed to on a normal PC.","The price premium is a little much, but when you start looking at the <span class=""AS"">features</span> it is worth the added cash.","Its Office compatible, but the <span class=""AS"">features</span> and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.","it has all the <span class=""AS"">features</span> that we expected and the price was good, working well so far.","Has all the other <span class=""AS"">features</span> I wanted including a VGA port, HDMI, ethernet and 3 USB ports.","A veryimportant <span class=""AS"">feature</span> is Firewire 800 which in my experience works better then USB3 (in PC enabled with USB3)I was not originally sold on the MAC OS","I have been PC for years but this computer is intuitive and its built in <span class=""AS"">features</span> are a great help","Also, macbooks come with much more <span class=""AS"">features</span> which are so cool!","the <span class=""AS"">features</span> are great, the only thing it needs is better speakers."
deal,,,,"And, if you are going to <span class=""AS"">deal</span> with HP be careful.","It was wonderful <span class=""AS"">deal</span> for the wonderful product.","so we got a good <span class=""AS"">deal</span> on hsn for an ascer notebook and we bought it for him.","While the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can drive you crazy trying to <span class=""AS"">deal</span> with the PC world.","Great <span class=""AS"">deal</span> on an amazing lap top!","was a great <span class=""AS"">deal</span> i will give that.","but it wasn't a <span class=""AS"">deal</span> breaker... this is a great little laptop... love it!","This was a great <span class=""AS"">deal</span> for a decked out MacBook Pro.","And having to <span class=""AS"">deal</span> with the company has been a even worse nightmare.","every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big <span class=""AS"">deal</span> of out that and after so many calls and complaints about their products and services, they finally gave in."
performance,,,,"I can say that I am fully satisfied with the <span class=""AS"">performance</span> that the computer has supplied.","I was considering buying the Air, but in reality, this one has a more powerful <span class=""AS"">performance</span> and seems much more convenient, even though it's about .20 inch thicker and 2 lbs heavier.","and it does not affect <span class=""AS"">performance</span> at all, I just chose to hide the message.","I highly recommend this laptop to anybody that wants great <span class=""AS"">performance</span> from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.","I would not recommend this to anyone wanting a notebook expecting the <span class=""AS"">performance</span> of a Desktop it does not meet the expectations.","I was looking too closely at the other <span class=""AS"">performance</span> specs and while comparing, I took it for granted that these features were standard.","Instead, I'll focus more on the actual <span class=""AS"">performance</span> and feature set of the hardware itself so you can make an educated decision on which Mac to buy.","Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system <span class=""AS"">performance</span> when it comes to a mac.","I've been impressed with the battery life and the <span class=""AS"">performance</span> for such a small amount of memory.","System is loosing about 20% of <span class=""AS"">performance</span> because of that.","It's also very capable of doing moderate video editing (although you may need the <span class=""AS"">performance</span> boost of the larger MacBook Pros for heavy duty mobile video editing).","And the ram (the thing that makes it faster) comes sporting 2 gigs for high <span class=""AS"">performance</span> to handle more stuff at once and surf the web a whole lot faster than before.","Strong <span class=""AS"">performance</span> in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.","It's not inexpensive but the Hardware <span class=""AS"">performance</span> is impressive for a computer this small.","It was also suffering from hardware (keyboard) issues, relatively slow <span class=""AS"">performance</span> and shortening battery lifetime.","The <span class=""AS"">performance</span> is definitely superior to any computer I've ever put my hands on.","I was surprised with the <span class=""AS"">performance</span> and quality of this HP Laptop.","Amazing <span class=""AS"">Performance</span> for anything I throw at it.","you can find many laptops with the same <span class=""AS"">performance</span> and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.","Great <span class=""AS"">Performance</span> and Quality."
size,,,,"We love the <span class=""AS"">size</span> of the screen, although it is still lightweight and very easy to tote around.","At home and the office it gets plugged into an external 24"" LCD screen, so built in screen <span class=""AS"">size</span> is not terribly important.","i love the <span class=""AS"">size</span> of the computer since i play games on it.","The <span class=""AS"">size</span> is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.","They are about the same <span class=""AS"">size</span> keys.","I really like the <span class=""AS"">size</span> and I'm a fan of the ACERS.","But the screen <span class=""AS"">size</span> is not that bad for email and web browsing.","the <span class=""AS"">size</span> of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.","when i first got it i thought the <span class=""AS"">size</span> of it was a joke.","I love the <span class=""AS"">size</span> because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.","The downside to this netbook is pretty much the same for any netbook: screen <span class=""AS"">size</span> is not something I'd stare at for the entire 10-11 hours of battery life five days a week.","Awesome laptop and the perfect <span class=""AS"">size</span> to carry around in college.","also...- excellent operating system- <span class=""AS"">size</span> and weight for optimal mobility- excellent durability of the battery-","It's been time for a new laptop, and the only debate was which <span class=""AS"">size</span> of the Mac laptops, and whether to spring for the retina display.","Setting would change for some reason, the screen <span class=""AS"">size</span> would change on it's own, like the pixel sizes and whatnot.","Right <span class=""AS"">size</span> and weight for portability.","Screen <span class=""AS"">size</span> is perfect for portable use in any environment.","the <span class=""AS"">size</span> and look is the most feature that attracted me to it.","Also, because of the <span class=""AS"">size</span> and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.","It is lightweight and the perfect <span class=""AS"">size</span> to carry to class."
brand,,,,"I didn't want to buy a generic <span class=""AS"">brand</span> computer","Unable to boot up this <span class=""AS"">brand</span> new laptop.","my information was all lost (my fault, I know, but I never thought I would need to back up my information on a <span class=""AS"">brand</span> new Mac, the paragon of all computers!","I'm not going to lie, I've never really liked the Acer <span class=""AS"">brand</span> in general.","The store honored their warrenty and made the comment that they don't even recommend the HP <span class=""AS"">brand</span> because of the problems with their warrentys.","It came in <span class=""AS"">brand</span> new and works perfectly.","I looked around and based off my price/features comparison from a <span class=""AS"">brand</span> I trusted I landed here.","This laptop has left me with a HORRIBLE taste in my mouth for Acer <span class=""AS"">brand</span> products.","Hopefully my replacement is <span class=""AS"">brand</span> new.","I never had this kind of quality issue with Dell (not to say Dell is that great), not with a <span class=""AS"">brand</span> new laptop.","This was the second computer and <span class=""AS"">brand</span> bought that day.","The <span class=""AS"">brand</span> of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.","I told them that I just received my <span class=""AS"">brand</span> new MacBook","The <span class=""AS"">brand</span> is tarnished in my heart.","while it was barely a bargin in the begining, i would never purchase another dell and would not recomend the dell <span class=""AS"">brand</span> to others.","Great value, fast delivery- Computer works as if <span class=""AS"">brand</span> new, no problems, very pleased"
edges,edge,,,"I have in the past gotten superfine sandpaper and ""fixed"" the <span class=""AS"">edges</span> by rounding them off.","Also, one of the users mentioned how the <span class=""AS"">edges</span> on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.","In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor <span class=""AS"">edge</span> until you buy it, get it home, break the seal and use it","Typing on the keyboard becomes uncomfortable after extended use due to the sharp <span class=""AS"">edges</span> that your wrists rest on.","Once open, the leading <span class=""AS"">edge</span> is razor sharp.","Maybe not the cutting <span class=""AS"">edge</span> (Satellite L455D) but it is a workhorse."
display,,,,"I hate the <span class=""AS"">display</span> screen and I have done everything I could do the change it.","The <span class=""AS"">display</span> is awesome.","Took a long time trying to decide between one with retina <span class=""AS"">display</span> and one without.","I was loving this Netbook because it had an amazing screen and <span class=""AS"">display</span> and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.","Also the <span class=""AS"">display</span> is exceptional!","The battery life is excellent, the <span class=""AS"">display</span> is excellent, and downloading apps is a  breeze.","The LED backlit <span class=""AS"">display</span> makes my pictures pop so much more.","The <span class=""AS"">display</span> on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","I was not aware that this product cannot <span class=""AS"">display</span> websites that contain Flash.","After having two PC laptops die with in the past 3 years, I was led to the Apple <span class=""AS"">display</span> at Best Buy by the sleek design and promise of less tech issues.","the retina <span class=""AS"">display</span> display make pictures i took years ago jaw dropping.","The <span class=""AS"">display</span> is incredibly bright, much brighter than my PowerBook and very crisp."
netbook,,,,"This <span class=""AS"">netbook</span> went bad on me after 3 days.","Would HIGHLY recommend this <span class=""AS"">netbook</span> though.","The latest is on my LG <span class=""AS"">Netbook</span> X12","Sells for the same as a <span class=""AS"">netbook</span> without sacrificing size.","I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful <span class=""AS"">netbook</span> to do that all in, I'd highly recommend checking this out.","Right out of the box, this little <span class=""AS"">netbook</span> did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).","I was loving this <span class=""AS"">Netbook</span> because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.","Overall I feel this <span class=""AS"">netbook</span> was poor quality, had poor performance, although it did have great battery life when it did work.","and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my <span class=""AS"">netbook</span> from.","I homeschool my kids and with this <span class=""AS"">netbook</span> next to my desk we get to teaching and illustrating without skipping a beat.","C'mon, I just bought the <span class=""AS"">netbook</span> 2 weeks ago.","I purchased this <span class=""AS"">netbook</span> after my original Toshiba laptop crashed right after the warranty expired.","I'v spent as much for shipping as I would to buy a new <span class=""AS"">netbook</span> -- of course a different brand.","Took the <span class=""AS"">netbook</span> on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.","We carry the <span class=""AS"">netbook</span> around here and there, hence it's kinda of irritating when the LCD just ""slide"" downwards.","The downside to this <span class=""AS"">netbook</span> is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.","I have had the <span class=""AS"">netbook</span> for 2 months","I bought the <span class=""AS"">netbook</span> because it was smaller and lighter for me to carry around.","This newer <span class=""AS"">netbook</span> has no hard drive or network lights.","I bought this <span class=""AS"">netbook</span> for traveling, and it's great - light, functional, and meets my needs."
